S.No,EmpID,Emp Name,DOJ,Designation,Grade,Attrition ,Location,In Active Date,Tenure,Gender,Education,Age,Last Rating,Monthly Income,Engagement Score (% Satisfaction),Marital Status,Zone,Remarks
300,XYZ1815,ABC300,1-Sep-08,Sales Executive,E1,Yes,Hadapsar (Pune),13 Mar 13,4 .6 ,Male,Bachelors,24,5,26050,11%,Divorced,West,Issues with the Manager
301,XYZ1375,ABC301,4-Mar-08,Sales Executive,E1,Yes,Vijaywada,16 Feb 13,4 .11 ,Male,Bachelors,24,4,26973,83%,Divorced,South,Issues with the Manager
302,XYZ1665,ABC302,1-Jul-08,Sales Executive ,E1,Yes,Vijaywada,23 Feb 13,4 .7 ,Male,Bachelors,27,1,26775,11%,Divorced,South,Termination - Poor Performance
303,XYZ2219,ABC303,18-Nov-09,Sales Executive,E1,Yes,Vijaywada,23 Feb 13,3 .3 ,Male,Bachelors,24,1,25242,72%,Married,South,Termination - Poor Performance
304,XYZ2317,ABC304,10-Feb-10,Sales Executive,E1,Yes,Vijaywada,16 Feb 13,3 .0 ,Male,Bachelors,25,3,26490,56%,Single ,South,Termination - Poor Performance
305,XYZ3310,ABC305,14-Dec-12,Sales Executive,E1,Yes,Vijaywada,19 Feb 13,0. 2 ,Male,Bachelors,24,2,25549,78%,Single ,South,Termination - Poor Performance
306,XYZ3196,ABC306,21-Aug-12,Sales Executive,E1,Yes,Velachery,5 Mar 13,0. 6 ,Male,Bachelors,28,1,26746,47%,Single ,South,Issues with the Manager
307,XYZ3294,ABC307,1-Dec-12,Sales Executive,E1,Yes,Avadi,4 Mar 13,0. 3 ,Male,Bachelors,27,1,26251,39%,Married,South,Better Salary
308,XYZ3070,ABC308,2-Mar-12,Technical Services Officer,M2,Yes,Koramangala,27 Mar 13,1. 0 ,Male,Bachelors,40,3,53484,27%,Single ,South,More Challenging Job Roles/ Higher designation
309,XYZ2234,ABC309,10-Dec-09,Zonal Manager,M4,Yes,Chennai,15 Apr 13,3 .4 ,Female,MBA,40,4,84759,85%,Married,South,More Challenging Job Roles/ Higher designation
310,XYZ1483,ABC310,3-Apr-08,Sr Sales Executive,E2,Yes,Chennai,5 Apr 13,5 .0 ,Male,Bachelors,29,3,37508,41%,Married,South,Better Salary
311,XYZ3329,ABC311,2-Jan-13,Sales Executive,E1,Yes,Vasna,4 Mar 13,0. 2 ,Male,Bachelors,28,1,25593,88%,Single ,West,Termination - Poor Performance
312,XYZ3394,ABC312,2-Mar-13,Sales Executive,E1,Yes,Rajkot,7 Mar 13,0. 0 ,Male,Bachelors,24,3,26670,76%,Divorced,West,Lack of Growth
313,XYZ3201,ABC313,21-Aug-12,Sales Executive,E1,Yes,Badlapur,6 Mar 13,0. 6 ,Male,Bachelors,24,3,25252,32%,Married,West,Absconding
314,XYZ3104,ABC314,16-Apr-12,Sales Executive ,E1,Yes,Badlapur,6 Mar 13,0. 10 ,Male,Bachelors,27,5,25981,10%,Divorced,West,Absconding
315,XYZ3393,ABC315,2-Mar-13,Sales Executive,E1,Yes,Anand (Vadodara Ext),2 Mar 13,0. 0 ,Male,Bachelors,26,3,25948,73%,Single ,West,Termination - Poor Performance
316,XYZ3111,ABC316,23-Apr-12,AM - Sales,M1,Yes,Navapur (Vyara Ext),15 Mar 13,0. 10 ,Male,Bachelors,39,2,53851,47%,Single ,West,Lack of Growth
317,XYZ2003,ABC317,18-Dec-08,Sr Sales Executive ,E2,Yes,Rajkot,15 Mar 13,4 .2 ,Male,Bachelors,35,3,33922,31%,Single ,West,Health Reasons
318,XYZ1306,ABC318,5-Jan-08,AM - Sales,M1,Yes,Kotra,31 Mar 13,5 .2 ,Male,Bachelors,33,2,54517,94%,Divorced,Central,Lack of Growth
319,XYZ1912,ABC319,25-Nov-08,Sr Sales Executive,E2,Yes,Amritsar,22 Mar 13,4 .3 ,Male,Bachelors,30,3,34250,36%,Married,North,Lack of Growth
320,XYZ3059,ABC320,27-Feb-12,Sales Executive,E1,Yes,Vijay Vihar,11 Mar 13,1. 0 ,Male,Bachelors,25,5,26784,71%,Married,North,Issues with the Manager
321,XYZ3106,ABC321,6-Apr-12,Sales Executive,E1,Yes,Bachrawan,16 Mar 13,0. 11 ,Male,Bachelors,25,4,26671,51%,Married,North,Issues with the Manager
322,XYZ3159,ABC322,18-Jun-12,Sales Executive,E1,Yes,Jagdishpuram,2 Mar 13,0. 8 ,Male,Bachelors,28,4,25775,13%,Married,North,Lack of Growth
323,XYZ1538,ABC323,26-May-08,AM - Sales,M1,Yes,Guntur,15 Mar 13,4 .9 ,Male,Bachelors,37,2,53841,69%,Divorced,South,Lack of Growth
324,XYZ3221,ABC324,13-Sep-12,Sales Executive,E1,Yes,Guntur,7 Mar 13,0. 5 ,Male,Bachelors,25,3,25813,11%,Married,South,Lack of Growth
325,XYZ0207,ABC325,12-Dec-05,Sr Sales Executive,E2,Yes,Guntur,12 Mar 13,7 .3 ,Male,Bachelors,28,1,36498,11%,Divorced,South,Lack of Growth
326,XYZ0183,ABC326,21-Jul-04,AM - Sales,M1,Yes,Guntur,31 Mar 13,8 .8 ,Male,Bachelors,36,3,51796,82%,Divorced,South,Termination - Poor Performance
327,XYZ3381,ABC327,22-Feb-13,Sales Executive,E1,Yes,Hinoo,8 Mar 13,0. 0 ,Male,Bachelors,27,4,26678,49%,Divorced,East,Issues with the Manager
